event_number,champion_name,champion_cp,champion_wins,champion_losses,champion_ties,total_players
1,Rone Nielsen,1192,12,0,1,337
2,VIANNEY LEROY,805,11,1,1,337
3,Gabriel Smart,1330,12,1,0,349
4,Carlos Medina Astete,995,13,0,0,351
5,Alejo Antonio Salvador Iturbe,754,13,0,0,334
6,Brent Tonisson,2020,12,1,0,347
7,Samuel Scime,740,11,0,2,342
8,Alejo Antonio Salvador Iturbe,754,12,0,1,343
9,CHARIZARDMT,794,12,1,0,344
10,Natalie Millar,1440,12,1,0,339
