event_number,champion_name,champion_cp,champion_wins,champion_losses,champion_ties,total_players
1,andres estefamp,785,12,1,0,96
2,Sebastian L,1285,11,1,1,92
3,James Kowalski,780,12,1,0,101
4,Steven Varesko,782,11,0,2,95
5,Sebastian L,1285,11,2,0,96
