name,cp,appearances,avg_placement,best_placement,worst_placement,median_placement,placement_std,total_wins,total_losses,total_ties,win_rate,top8_finishes,top16_finishes,top32_finishes,top64_finishes,day2_appearances,day2_rate,top8_rate,top16_rate,placement_consistency
Vance Kelley,714,65,132.98461538461538,12,328,133.0,79.41298152453027,547,184,114,0.6473372781065089,0,2,5,20,65,1.0,0.0,0.03076923076923077,0.012435803038778588
Simone Fiorito,920,75,133.37333333333333,4,338,128.0,72.95292323827064,642,208,125,0.6584615384615384,1,1,5,16,75,1.0,0.013333333333333334,0.013333333333333334,0.013522115911200384
Ethan Wilde,965,78,133.47435897435898,4,297,111.0,86.24410002165243,668,203,143,0.6587771203155819,2,8,13,20,78,1.0,0.02564102564102564,0.10256410256410256,0.01146209313583174
Kenneth Gilman,802,68,133.7941176470588,11,303,130.0,83.31912375194499,568,191,125,0.6425339366515838,0,4,6,19,68,1.0,0.0,0.058823529411764705,0.011859705787999641
Scotty Chesser,705,68,133.83823529411765,7,327,135.5,82.22368658510334,567,171,146,0.6414027149321267,3,4,11,19,68,1.0,0.04411764705882353,0.058823529411764705,0.012015809933839142
Christian D'Onofrio,990,66,133.93939393939394,9,317,109.5,86.36361035455381,568,186,104,0.662004662004662,0,4,11,14,66,1.0,0.0,0.06060606060606061,0.011446413397313029
Jonathan Fabrizio Bellucci Lanciano,831,63,134.03174603174602,5,294,136.0,71.77697722672241,540,168,111,0.6593406593406593,1,3,7,12,63,1.0,0.015873015873015872,0.047619047619047616,0.013740609161118302
Henry Thompson,725,80,134.0875,2,346,129.0,92.46568898375497,681,224,135,0.6548076923076923,4,5,15,24,80,1.0,0.05,0.0625,0.01069911334172915
Shane M,730,78,134.15384615384616,5,317,126.0,77.95221262124285,658,225,131,0.6489151873767258,2,4,7,19,78,1.0,0.02564102564102564,0.05128205128205128,0.012665889489345867
Christian Fontenot,1040,75,134.30666666666667,3,329,122.0,87.95283953336573,646,212,117,0.6625641025641026,2,7,9,18,75,1.0,0.02666666666666667,0.09333333333333334,0.011241912065380503
Riccardo Coviello,970,76,134.60526315789474,2,328,111.0,92.93870079392738,655,210,123,0.6629554655870445,3,4,15,22,76,1.0,0.039473684210526314,0.05263157894736842,0.010645239837771362
harvey scheinman,810,68,134.66176470588235,1,323,119.5,80.99633496298674,584,182,118,0.6606334841628959,2,5,9,12,68,1.0,0.029411764705882353,0.07352941176470588,0.012195667043550195
Ajay Sridhar,692,68,134.75,5,310,114.5,82.1515481635717,572,195,117,0.6470588235294118,1,2,5,16,68,1.0,0.014705882352941176,0.029411764705882353,0.012026234292509484
Marco Aurelio Fernandes Garcia,850,71,134.92957746478874,13,299,115.0,84.36423140909591,608,188,127,0.6587215601300108,0,2,8,19,71,1.0,0.0,0.028169014084507043,0.011714508330868026
Jeremy Medina,620,52,134.94230769230768,1,314,118.0,79.49112996800173,441,145,90,0.6523668639053254,2,3,4,11,52,1.0,0.038461538461538464,0.057692307692307696,0.0124237291785758
Nicholas Moffitt,820,70,135.02857142857144,1,328,131.0,82.66923291281573,586,194,130,0.643956043956044,2,3,6,18,70,1.0,0.02857142857142857,0.04285714285714286,0.011951824645530228
Michael Bio,870,70,135.45714285714286,1,326,129.5,84.91439606088647,589,194,127,0.6472527472527473,3,5,8,20,70,1.0,0.04285714285714286,0.07142857142857142,0.011639492865564838
angus johnson,905,71,135.54929577464787,5,331,116.0,87.7707710430812,610,185,128,0.6608884073672806,2,6,11,17,71,1.0,0.028169014084507043,0.08450704225352113,0.011264969181293825
DC DeVos,707,79,135.56962025316454,4,327,131.0,81.65667393772472,664,213,150,0.6465433300876339,3,7,11,21,79,1.0,0.0379746835443038,0.08860759493670886,0.012098236625797707
Matthew Houtput,927,68,135.6764705882353,5,327,134.0,93.62906188330831,587,191,106,0.6640271493212669,3,7,12,21,68,1.0,0.04411764705882353,0.10294117647058823,0.010567578079059354
Alberto Bonsanto,725,76,135.69736842105263,1,337,115.0,85.47764147999438,653,194,141,0.6609311740890689,6,6,8,16,76,1.0,0.07894736842105263,0.07894736842105263,0.011563682622303463
Keaton Gill,687,66,135.86363636363637,23,293,133.5,73.33839090421591,557,195,106,0.6491841491841492,0,0,3,16,66,1.0,0.0,0.0,0.013451999536665886
Leon Thiemann,1005,70,135.88571428571427,2,322,121.5,93.42105756123301,604,191,115,0.6637362637362637,5,7,13,20,70,1.0,0.07142857142857142,0.1,0.010590857864004434
Tom Hellkamp,852,74,136.17567567567568,8,316,134.5,77.98144459800679,624,222,116,0.6486486486486487,1,3,8,17,74,1.0,0.013513513513513514,0.04054054054054054,0.012661201692241983
Landen Kaetler,672,72,136.26388888888889,1,335,138.0,88.16533652714783,612,212,112,0.6538461538461539,2,3,10,21,72,1.0,0.027777777777777776,0.041666666666666664,0.011215120572056987
Jake Riggs,610,60,136.76666666666668,9,286,125.5,76.66443868047355,506,168,106,0.6487179487179487,0,2,7,12,60,1.0,0.0,0.03333333333333333,0.012875905845585164
Snowlemon,720,67,136.92537313432837,5,321,132.0,84.90927661651864,563,187,121,0.6463834672789897,2,3,6,21,67,1.0,0.029850746268656716,0.04477611940298507,0.011640186477925947
LEANDRO A,827,65,137.06153846153848,16,322,118.0,76.98536324423074,559,190,96,0.6615384615384615,0,2,6,10,65,1.0,0.0,0.03076923076923077,0.012822919050440902
Cameron Shenoy,832,60,137.31666666666666,6,323,139.5,73.68128609697278,501,184,95,0.6423076923076924,1,1,2,9,60,1.0,0.016666666666666666,0.016666666666666666,0.01339023538911089
Francesco Pasquale Caterino,860,62,137.5,1,333,114.5,79.73290453491438,529,173,104,0.6563275434243176,1,1,6,13,62,1.0,0.016129032258064516,0.016129032258064516,0.012386523261621688
Frank Luciano,680,68,137.5,4,341,121.5,90.80116048965816,574,197,113,0.6493212669683258,1,4,9,19,68,1.0,0.014705882352941176,0.058823529411764705,0.010893108482137922
David Zheng,805,72,137.875,13,307,136.5,80.37726843884495,599,200,137,0.6399572649572649,0,1,3,21,72,1.0,0.0,0.013888888888888888,0.012288443925240627
Alex Chandler,696,73,137.95890410958904,6,317,134.0,81.27447295638342,609,193,147,0.6417281348788199,1,3,10,19,73,1.0,0.0136986301369863,0.0410958904109589,0.012154438236634283
Coreyology,725,66,137.9848484848485,3,329,136.5,85.70225603784705,554,188,116,0.6456876456876457,2,5,6,18,66,1.0,0.030303030303030304,0.07575757575757576,0.011533725253509926
Simone Canziani,807,72,138.52777777777777,4,293,141.5,79.92760319650937,607,183,146,0.6485042735042735,2,4,7,14,72,1.0,0.027777777777777776,0.05555555555555555,0.012356723299611235
Nicolas Gist,716,71,138.7887323943662,8,318,137.0,77.01853496639768,597,207,119,0.6468039003250271,1,4,8,14,71,1.0,0.014084507042253521,0.056338028169014086,0.01281746703434891
VIANNEY LEROY,805,57,138.96491228070175,2,323,146.0,74.86558548307968,483,149,109,0.6518218623481782,1,3,7,13,57,1.0,0.017543859649122806,0.05263157894736842,0.013181207178886534
Jonah Alter,762,72,139.15277777777777,2,315,121.5,82.01608562979843,618,195,123,0.6602564102564102,1,4,6,16,72,1.0,0.013888888888888888,0.05555555555555555,0.012045858250404575
Riley448_,660,66,139.4090909090909,4,328,143.0,77.68218829063956,557,198,103,0.6491841491841492,2,2,8,11,66,1.0,0.030303030303030304,0.030303030303030304,0.012709356739115569
Elsie Croizer,700,67,139.49253731343285,3,319,135.0,83.85744995622909,562,190,119,0.6452353616532721,4,5,6,14,67,1.0,0.05970149253731343,0.07462686567164178,0.01178446913636713
Steven Salas,700,67,139.55223880597015,2,294,131.0,65.08858382936138,573,189,109,0.6578645235361653,1,1,4,7,67,1.0,0.014925373134328358,0.014925373134328358,0.015131206360571565
brandon salazar,682,67,139.77611940298507,12,325,128.0,78.79255865793618,557,184,130,0.6394948335246843,0,2,5,13,67,1.0,0.0,0.029850746268656716,0.012532496974898546
JOSE ZELAYA,737,81,139.8641975308642,14,337,134.0,89.70099680137615,679,238,136,0.6448243114909782,0,1,10,23,81,1.0,0.0,0.012345679012345678,0.011025237155771011
David Walerian Rzepka,874,68,140.0,4,314,123.0,91.33569376330308,583,191,110,0.6595022624434389,1,6,14,15,68,1.0,0.014705882352941176,0.08823529411764706,0.010830048047978488
Maddox Corcoran,880,73,140.04109589041096,13,299,144.0,82.83089170716784,610,220,119,0.642781875658588,0,2,6,17,73,1.0,0.0,0.0273972602739726,0.011928776846286326
Diego Cassiraga,1050,69,140.4927536231884,9,328,125.0,90.6359270391561,586,189,122,0.653288740245262,0,4,10,16,69,1.0,0.0,0.057971014492753624,0.010912750405991956
Christian Chase,700,68,140.66176470588235,7,315,133.5,78.13948689212584,570,203,111,0.6447963800904978,2,2,5,13,68,1.0,0.029411764705882353,0.029411764705882353,0.01263591715426572
ElNeneMalo_TCG,745,71,140.67605633802816,2,311,143.0,82.5939767170684,609,197,117,0.6598049837486457,2,7,10,16,71,1.0,0.028169014084507043,0.09859154929577464,0.011962584378352919
RAMIRO GALINDO,662,68,140.8235294117647,8,328,119.0,89.3046005360842,571,201,112,0.6459276018099548,1,1,5,16,68,1.0,0.014705882352941176,0.014705882352941176,0.011073632949634907
Anthony ARGENTE,805,65,140.93846153846152,5,323,123.0,84.33728359300028,551,178,116,0.6520710059171597,1,2,7,11,65,1.0,0.015384615384615385,0.03076923076923077,0.011718207539500638
Daniel Powell,1020,74,141.06756756756758,4,294,136.5,83.36786462142634,632,212,118,0.656964656964657,3,4,10,16,74,1.0,0.04054054054054054,0.05405405405405406,0.011852854217505426
Joah W,890,71,141.45070422535213,7,287,139.0,83.91846191093461,607,204,112,0.6576381365113759,2,4,9,16,71,1.0,0.028169014084507043,0.056338028169014086,0.011776002267314194
Otavio Gouveia,711,71,141.74647887323943,14,309,126.0,74.64443684368086,600,192,131,0.6500541711809318,0,2,3,11,71,1.0,0.0,0.028169014084507043,0.013219742808932516
Aarni Karjala,1035,69,141.7536231884058,2,331,139.0,82.29080532532915,590,197,110,0.6577480490523969,3,5,9,13,69,1.0,0.043478260869565216,0.07246376811594203,0.01200612716006355
Dre Alderette,680,67,141.8507462686567,1,326,129.0,88.9707568115303,557,176,138,0.6394948335246843,2,4,8,18,67,1.0,0.029850746268656716,0.05970149253731343,0.011114722554738408
Solomon Shurge,721,70,141.95714285714286,10,308,134.5,85.60042592916614,586,211,113,0.643956043956044,0,1,6,19,70,1.0,0.0,0.014285714285714285,0.01154728731724644
Justin Kempley,880,69,142.1014492753623,1,322,140.0,83.61169790932652,586,190,121,0.653288740245262,1,3,8,16,69,1.0,0.014492753623188406,0.043478260869565216,0.011818696760720277
Liam Mitchell643,200,2,143.0,113,173,143.0,42.42640687119285,17,6,3,0.6538461538461539,0,0,0,0,2,1.0,0.0,0.0,0.02302746351928452
Víctor García Montes,860,59,143.11864406779662,6,315,124.0,83.06604865713223,505,170,92,0.6584093872229465,1,4,7,10,59,1.0,0.01694915254237288,0.06779661016949153,0.011895408621839148
Rose Gregson,847,76,143.32894736842104,5,297,122.5,79.85877337030995,648,221,119,0.6558704453441295,2,4,8,11,76,1.0,0.02631578947368421,0.05263157894736842,0.012367241776229864
jesse spencer,659,65,143.3846153846154,4,323,136.0,79.29448520934722,545,193,107,0.6449704142011834,4,4,4,15,65,1.0,0.06153846153846154,0.06153846153846154,0.012454155442839657
João Pedro Medeiros Zambrano,878,61,143.44262295081967,1,295,145.0,82.09090988860336,523,173,97,0.6595208070617906,2,2,8,13,61,1.0,0.03278688524590164,0.03278688524590164,0.012035010825379812
Agustin Perkins,744,81,143.7530864197531,7,306,141.0,81.0482157212911,684,219,150,0.6495726495726496,1,2,7,13,81,1.0,0.012345679012345678,0.024691358024691357,0.012187955474825823
frvr,690,65,143.75384615384615,15,317,131.0,80.15473917079677,551,179,115,0.6520710059171597,0,3,5,12,65,1.0,0.0,0.046153846153846156,0.012322139288691672
Tiger Hickman,700,65,143.8153846153846,10,294,149.0,79.10019206433942,539,183,123,0.6378698224852071,0,3,6,12,65,1.0,0.0,0.046153846153846156,0.012484364571769855
Victor Freitas,830,72,143.95833333333334,1,329,132.5,85.0945518025618,616,200,120,0.6581196581196581,3,7,11,14,72,1.0,0.041666666666666664,0.09722222222222222,0.011615136835757874
